Student Name,StationSimulation TestStationSimulation,StationSimulation TestCreateVehicle,StationSimulation TestServiceVehicle,Vehicle TestVehicleClass,Vehicle TestConstructor,Vehicle TestToString,FuelStation TestDefaultConstructor,FuelStation TestToStringMethod,FuelStation TestSellFuelPrivateMethod,FuelStation TestCanDispenseFuelType,FuelStation TestDispenseMethod
816039528,1,0,0,1,1,0,1,1,0,1,0
816035625,1,0,0,1,0,0,1,0,0,1,1
816038061,1,1,1,1,1,1,1,0,1,1,1
816039528,1,0,0,1,1,0,0,0,0,0,0
816040729,1,1,1,1,1,1,1,0,1,1,1
816039321,1,1,1,1,1,1,1,0,1,1,1
816039297,0,0,0,0,0,0,0,0,0,0,0
816034459,0,0,0,1,1,0,0,0,0,0,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,1,1,1,1,0,1,0,1,1,1
null,1,1,1,1,1,0,1,0,1,1,1
null,1,1,1,1,1,0,1,0,1,1,1
null,1,1,1,1,1,0,1,0,1,1,1
null,1,0,0,1,0,0,1,0,0,1,0
816039885,1,1,1,1,1,1,1,0,1,1,1
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
816039310,1,1,0,1,1,1,1,0,1,1,1
816039310,1,1,1,1,1,1,1,1,1,1,1
816037897,1,1,1,1,1,0,1,0,1,1,1
816039603,1,0,0,1,1,0,1,0,1,1,0
null,0,0,0,0,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0,0,0,0,0
null,0,0,0,0,0,0,0,0,0,0,0
816033934,0,0,0,0,0,0,0,0,0,0,0
816033934,0,0,0,0,0,0,0,0,0,0,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
816040786,1,1,0,1,1,0,1,0,0,1,0
816041434,1,0,1,1,0,0,1,0,1,0,1
816037784,1,0,1,1,0,0,1,0,1,1,1
816040068,1,1,1,1,1,1,1,0,1,1,1
816031754,1,1,1,1,1,0,1,0,1,0,1
null,0,0,0,0,0,0,0,0,0,0,0
816039536,1,0,0,1,1,1,1,0,1,1,1
null,1,0,0,1,0,0,1,0,0,1,0
816041389,1,0,0,1,1,1,1,0,1,1,1
816039310,1,1,1,1,1,1,1,1,1,1,1
816039280,0,0,0,0,0,0,0,0,0,0,0
816042447,1,0,1,1,0,0,1,0,1,1,1
lab,1,0,0,1,1,1,1,0,1,1,0
null,1,1,1,1,1,1,1,0,1,1,1
null,1,1,1,1,1,1,1,0,1,1,1
816029290,1,1,1,1,1,0,1,0,1,1,1
816040884,1,0,1,1,0,0,1,0,0,1,1
null,1,1,1,1,1,1,1,0,1,1,1
null,1,1,1,1,1,1,1,0,1,1,1
816041763,1,1,0,1,1,1,1,0,0,1,0
816042751,1,1,0,1,1,0,0,0,0,1,0
816039881,1,1,1,1,1,1,1,0,1,1,1
816039881,1,1,1,1,1,1,1,1,1,1,1
816040879,1,1,1,1,1,1,1,1,1,1,1
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
null,1,0,0,1,0,0,1,0,0,1,0
816039902,1,1,1,1,1,1,1,0,1,1,1
816039902,1,1,1,1,1,1,1,0,1,1,1
816039902,1,1,1,1,1,1,1,0,1,1,1
