Student Name,Vehicle testFieldsAndModifiers,Vehicle testThreeArgConstructor,Vehicle testFourArgConstructor,Vehicle testToStringMethod,Vehicle testVehicleClassification,Vehicle testEqualsMethod,VehicleDriver testFieldsAndModifiers,VehicleDriver testConstructor,VehicleDriver testGetName,VehicleDriver testAddVehicle,VehicleDriver testCanDrive,StationSimulation testMethodsExist,StationSimulation testRandomNumberGeneration,StationSimulation testSimulationBehavior
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
816039068Lab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
816039068Lab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816039068Lab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
null,3,2,2,0,1,2,3,2,1,1,0,2,1,5
816039068Lab3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
