Student Name,Vehicle testFieldsAndModifiers,Vehicle testThreeArgConstructor,Vehicle testFourArgConstructor,Vehicle testToStringMethod,Vehicle testVehicleClassification,Vehicle testEqualsMethod,VehicleDriver testFieldsAndModifiers,VehicleDriver testConstructor,VehicleDriver testGetName,VehicleDriver testAddVehicle,VehicleDriver testCanDrive,StationSimulation testMethodsExist,StationSimulation testRandomNumberGeneration,StationSimulation testSimulationBehavior
816039528,2,2,2,0,0,0,3,2,1,1,0,2,1,5
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,0,0,0,0,0,0,0,0,0,0,0,0,0,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
null,2,0,0,0,2,0,3,2,1,0,0,2,1,0
816035625,3,2,2,0,0,2,3,2,1,1,0,2,1,5
816035625,3,2,2,0,0,2,3,2,1,1,0,2,1,5
816039344,3,2,2,0,3,2,3,2,1,1,0,0,0,0
816042447,3,2,2,0,3,2,3,2,1,1,0,0,0,0
816042447,3,2,2,0,3,2,3,2,1,1,0,0,0,0
Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lab,0,0,0,0,0,0,0,0,0,0,0,0,0,0
816021591,3,2,2,1,3,2,3,2,1,1,1,2,1,5
null,3,2,2,1,3,2,3,2,1,1,0,2,1,5
null,3,2,2,1,3,2,3,2,1,1,0,2,1,5
null,3,2,2,1,3,2,3,2,1,1,0,2,1,5
null,3,2,2,1,3,2,3,2,1,1,0,2,1,5
